PAR-MAIL,RZS-CSVP
FTRAV-OPBDIC,MVIZO-TCVHHQ
FTRAV-BASECLE,UOCXS-GHSUFGS
FTRAV-EMAR-ORIG,JJCEL-TZST-SSDG
FTRAV-CHQ-ORIG,FMQEW-JTG-XMEU
FTRAV-CHQX-ORIG,OHWOQ-JGUJ-WHRF
FTRAV-PAIE-ORIG,JSPDY-REOS-PVRM
FTRAV-DATEREG-ORIG,ZKOBR-AIGYVMS-PQUW
FTRAV-ORDRE-ORIG,LFQID-WHBWQ-TBLG
FTRAV-ECT-ORIG,LUKCO-YDB-JRDP
FTRAV-IMPRE3C-ORIG,BKAMT-NCIIM9P-YSNJ
FTRAV-CODEMARTRF-ORIG,TSJSC-YXUTHMAPTB-ZZHW
FTRAV-INDCIRCUL-ORIG,HLATY-LASWGKDRA-MQTA
FTRAV-OPBDIC-ORIG,EPYIQ-ZJIYHD-INFM
FTRAV-DATENREMAR-ORIG,DJFIB-RZRBLPQNVW-XKWX
FTRAV-BASECLE-ORIG,QDQFG-QFXPXSX-PJFG
INDS,IHML
AIGLOG,JHBWKC
WBASECHQX,OUHRAFYRZ
WBASEPAIE,SRRYMPRMT
WBASEDATEREG,ZSEJUOEYCWRY
WBASEORDRE,IJNIVLZJTX
WBASEIMPRE3C,RBITCLFJNE0P
WBASECODEMARTRF,POJPFOHZIAHXVTP
WBASEINDCIRCUL,ZENZRZOYIWZWJQ
WBASEOPBDIC,ZPRQKSVZWKO
WBASEDATENREMAR,MTIRGCWOJAEWTAQ
PARAME,WIWELH
WDATECPTA,NXLFDCIIX
WBASECLE1,VDDBSATK1
WBASECLE2,RZTZEVQV7
WBASECLE2P,PYNXYWLQ9Q
WBASECLEF,XSAENNYEY
WBASECLEF2,SRHNICRWO8
WELEM-TABLE,LIDUO-LTCYW
WTABL-FLAG,YHXUK-WCAG
WTABL-ROWID,TYWJU-TWPGH
WTABL-CHQ,GQPXP-VBY
WTABL-CHQX,WLQZM-VFBI
WTABL-PAIE,MKHXB-KPBV
WTABL-DATEREG,DXZSJ-OIZMEKM
WTABL-ORDRE,YNPXO-BELIT
WTABL-ECT,TUPBA-CIU
WTABL-IMPRE3C,QVPZO-UWJNC0M
WTABL-CODEMARTRF,XUKDR-OLOHMMLDMN
WTABL-DATENREMAR,GFYZZ-KGBUKCNIFL
WTABL-INDCIRCUL,RWZFD-VSUYSLSFG
WTABL-OPBDIC,MKZNG-CTFLQX
WTABL-BASECLE,CGFTH-GCRHBKH
WTABL-EMAR-ORIG,ORXKL-MNBQ-JXBF
WTABL-CHQ-ORIG,TRCMZ-ENG-KKYH
WTABL-CHQX-ORIG,LMIVI-FJFB-LMBM
WTABL-PAIE-ORIG,VEIAX-ERYE-ACFJ
WTABL-DATEREG-ORIG,KGPOO-EUZRICY-TNQL
WTABL-ORDRE-ORIG,LFHPM-XNNAH-DSEJ
WTABL-ECT-ORIG,YZZIZ-GRP-ZTTR
WTABL-IMPRE3C-ORIG,DJPZM-MFKEM4E-BGVS
WTABL-CODEMARTRF-ORIG,DVPPO-GSQSAHDQMR-FYWL
WTABL-INDCIRCUL-ORIG,WTULB-YWZVZFVMO-XTAQ
WTABL-OPBDIC-ORIG,WRNXJ-EWDTHY-VFOE
WTABL-DATENREMAR-ORIG,PMSXM-QTRVBTBYAY-SRSV
WTABL-BASECLE-ORIG,FGXPE-ESPMHRW-WJEC
WBORNINF,PJGUOUIO
WBORNINF9,EASITCAF6
WBORNSUP,VWDPYZTL
WBORNSUP9,EDPYMZVQ1
WINCREMSIGN,CZENBUJHIOQ
WINCREMVAL,SXCFRERAQO
WINCREMVAL9,YPPGZVDXWG0
WBORNINT,YNCUFYLP
WBORNINT9,BGTMOKRD4
U-FBASE,P-YTLMQ
U-FBASECT,Z-TEJHKOG
U-FBASEIMPRE3C,B-SQSJLIXTPR9D
U-FBASEPAIE,J-GNGJVMGGK
U-FBASEDATEREG,W-TMDMSHPQMDMD
U-FBASEORDRE,H-CRVMCPMBMQ
U-FBASENUMTRSF,U-GCEWRKXPMQIG
U-FBASECODEMARTRF,R-OUQIJCAJWWDGVIM
U-FBASEINDCIRCUL,X-ZFMLOTQHTYIXXG
U-FBASEOPBDIC,Q-EEGYECAMUKS
U-FBASEDATENREMAR,C-DYPVOMKGIKCWRKZ
U-ROWID,I-WUVZY
WNBCARTES,NTIMWGJOD
NBANO,OOTRE
NBVALID,CYPQJCV
WNBEMAR2,YWBRXRM1
WUPDATE,AHIPEFS
WECRTRAV,DKLOULFX
WECRTRAVTOT,EYSHTONTWUR
WMAJTRAV,ORUDGSHU
WLUTRAV,LVFWRHG
WLUTRAV2,MUQQOXT2
WLUTABLE,EPIFBISQ
WTRAV,KBMKD
WEMAR2,YJQVA6
WINCR,FINJG
WCTANNUL,FIAXZYIV
WTABORIORDO,TYFIEOSTYSD
WTABORI,IMDFIHZ
WTABTIRET,SWBGPNQYX
WTABORDO,HENLNXXD
WORICADRE-A,JJILOFIYT-T
WA1,LX5
WA2,KW2
WORICADRE-B,SLLFXVZJX-I
WA3,VT6
WA4,LE2
ART-RTC,UCT-XBT
RTC-POSTE,GSS-PXOQV
RTC-FICHIER,LIN-NZUGCIS
RTC-RANG,JTI-SGCS
RTC-DATE,KJD-UDGX
W-FICHIER,W-LTSWVJY
W-RANG,W-DQRV
W-RANG88,W-ZALC49
:W:-COM-AAAA,:W:-DEK-UZMZ
:W:-COM-POSCURS,:W:-OQQ-MYHKHEV
:W:-COM-NCHQDEB,:W:-MOH-RYGHDVR
:W:-COM-NCHQFIN,:W:-LID-JYASCJT
:W:-COM-DATE-ENTREE,:W:-RPX-ETHB-DYHCSR
:W:-COM-AA-ENTREE,:W:-RIJ-CI-ZEIKDE
:W:-COM-MM-ENTREE,:W:-IMJ-QQ-XXBMEV
:W:-COM-JJ-ENTREE,:W:-FVC-TA-TJTFZX
:W:-COM-NCHEQDEB,:W:-ASX-TNZQIWPJ
:W:-COM-NCHEQFIN,:W:-VHC-HSMWIPQZ
:W:-COM-QTE,:W:-JZX-MEV
:W:-COM-NBRECHQ,:W:-CGT-IFSOTNI
:W:-COM-TAB-AN,:W:-EJJ-DWD-LZ
:W:-COM-CHQDEBAN,:W:-CXY-XVUJUEFG
:W:-COM-CHQFINAN,:W:-JTO-ICZIYAYE
:W:-COM-NBCHQAN,:W:-GFI-NWRKTGA
:W:-COM-TAB-NO-ATT,:W:-FGI-PLC-YD-HBM
:W:-COM-TYPENO-ATT,:W:-JJW-QWFVBR-LPR
:W:-COM-CHQDEBNO-ATT,:W:-MHQ-PXVOGPUX-KOV
:W:-COM-CHQFINNO-ATT,:W:-BMV-IHZVSRQR-ZDC
:W:-COM-TYPENO-SUP,:W:-JVW-DZEPUP-LUA
:W:-COM-CHQDEBNO-SUP,:W:-EBX-IGOUXYAO-IDS
:W:-COM-CHQFINNO-SUP,:W:-EJP-YIRPGNMJ-XMM
:W:-COM-NBCHQNO,:W:-XFX-ESFNXWX
:W:-COM-NB-CHAINE,:W:-AZI-SV-RYUXLQ
:W:-COM-PREM,:W:-TZS-OXHT
:W:-COM-PREM-APP,:W:-YNJ-MCTG-FOS
:W:-COM-PREM-PRG,:W:-MXY-GMEO-MFN
:W:-COM-PREM-DATE,:W:-YKM-SPNM-EJAH
:W:-COM-PREM-HEUR,:W:-DJI-FOFD-HNQT
:W:-COM-SUIV,:W:-KWR-WANG
:W:-COM-SUIV-APP,:W:-HZR-YMMB-RSO
:W:-COM-SUIV-PRG,:W:-QXH-AEKG-UUZ
:W:-COM-SUIV-DATE,:W:-ZRP-AJFU-WRXG
:W:-COM-SUIV-HEUR,:W:-DYN-CQCY-MVKE
:W:-COM-CHAINE,:W:-ZME-VAICOJ
:W:-COM-CHAI,:W:-JWZ-CTQA
:W:-COM-CH-APP,:W:-CQV-UG-GAP
:W:-COM-CH-PRG,:W:-HMJ-QF-TLP
:W:-COM-CH-DATE,:W:-ULZ-MQ-KIMK
:W:-COM-CH-AA,:W:-CWX-IS-JS
:W:-COM-CH-MM,:W:-XTH-XA-DN
:W:-COM-CH-JJ,:W:-DTH-VI-NM
:W:-COM-CH-HEUR,:W:-TNP-LB-IAWT
:W:-COM-CH-HEU,:W:-UKK-RH-KXS
:W:-COM-CH-MIN,:W:-ESS-YF-KBD
:W:-COM-CH-SEC,:W:-PHV-CS-PUI
:W:-COM-CH-DEP,:W:-XUY-ZQ-KHE
:W:-COM-CH-ADEP,:W:-KSQ-NK-BSCP
:W:-COM-CH-MDEP,:W:-TOH-II-PHCC
:W:-COM-CH-JDEP,:W:-OUE-ZI-FXXX
:W:-COM-CH-POSTE,:W:-BLV-JD-ZDSQM
:W:-COM-CH-APOSTE,:W:-WPG-BY-CLEMVS
:W:-COM-CH-MPOSTE,:W:-FGQ-UD-KJEQUS
:W:-COM-CH-JPOSTE,:W:-AOI-RK-LVRCLY
:W:-COM-CH-PTT,:W:-JCO-AK-DOC
:W:-COM-CH-APTT,:W:-VXT-BI-JBDZ
:W:-COM-CH-MPTT,:W:-SNY-EE-HKWV
:W:-COM-CH-JPTT,:W:-YBP-IH-SEAJ
:W:-COM-PV-DESTRUCTION,:W:-AUH-NY-KRMVYZEWVDY
:W:-COM-NCHEQDEB-P,:W:-GSF-CDRUQFEU-D
:W:-COM-NCHEQFIN-P,:W:-UFE-RPYPUMQI-T
:W:-COM-NCHEQDEB-A,:W:-CGS-AHUGLHEO-E
:W:-COM-NCHEQFIN-A,:W:-UCC-VQNTLRXN-M
:W:-COM-NCHEQDEB-Z,:W:-GNM-RSYNDMYI-Z
:W:-COM-NCHEQFIN-Z,:W:-LYR-UVMTSPKR-J
:W:-COM-NBCHEQUE-DEST,:W:-QOR-EGUJASZH-BOXE
:W:-COM-PRECEDENT,:W:-GDE-LOJLQPBDQ
:W:-COM-SUIVANT,:W:-UDJ-ZDSCKAZ
:W:-COM-DATE-DEBUT,:W:-GEO-ZCSW-EZLYF
:W:-COM-AA-DEBUT,:W:-XHZ-QA-UPPFP
:W:-COM-MM-DEBUT,:W:-BGZ-OG-IPUWN
:W:-COM-JJ-DEBUT,:W:-WTS-NM-DCIYY
:W:-COM-DATE-FIN,:W:-GUR-FGRE-LKF
:W:-COM-AA-FIN,:W:-PFC-FE-TMT
:W:-COM-MM-FIN,:W:-BGP-XS-ESV
:W:-COM-JJ-FIN,:W:-YHA-UD-GGT
:W:-COM-COOR-IP,:W:-GNC-SNQG-KL
:W:-COM-IP-EC,:W:-KUF-DU-NB
:W:-COM-IP-NOM,:W:-GOL-BF-LJY
:W:-COM-IP-PRENOM,:W:-XNM-QR-WPCOQN
:W:-COM-IP-GRADE,:W:-PLI-CI-LKUYI
:W:-COM-IP-FONCTION,:W:-MJT-TT-OYMBPSIZ
:W:-COM-IP-L1,:W:-ZIO-XZ-J1
:W:-COM-IP-L2,:W:-KMO-DY-I1
:W:-COM-IP-L3,:W:-QFL-XV-V6
:W:-COM-IP-L4,:W:-TOC-MI-X3
:W:-COM-IP-L5,:W:-NMA-SY-C5
:W:-COM-COOR-RE,:W:-NZP-EXUY-FY
:W:-COM-RE-EC,:W:-GWM-NE-VK
:W:-COM-RE-NOM,:W:-VKS-FM-NIV
:W:-COM-RE-PRENOM,:W:-PMH-RJ-EKPJUR
:W:-COM-RE-GRADE,:W:-LQB-GE-EATWP
:W:-COM-RE-FONCTION,:W:-TPD-UF-GLURKSZB
:W:-COM-RE-L1,:W:-IKS-YF-B5
:W:-COM-RE-L2,:W:-VTZ-TJ-C8
:W:-COM-RE-L3,:W:-QQK-QD-Y5
:W:-COM-RE-L4,:W:-SOJ-QA-N4
:W:-COM-RE-L5,:W:-QWD-MD-H9
:W:-COM-ATTENTION,:W:-REH-IHKVVLMMT
:W:-COM-IP-ADJ,:W:-FKK-QR-MNG
:W:-COM-LIEU,:W:-IGP-WXVM
:W:-COM-NUMPAGE,:W:-RSC-CUHFODK
:W:-COM-TRANCHES,:W:-JBO-RYBZSWJH
:W:-COM-TRAN,:W:-PNM-MXKS
:W:-COM-TRAN-SERV,:W:-SRW-QING-CDOO
:W:-COM-TRAN-DEB,:W:-QSM-XZWY-ZAZ
:W:-COM-TRAN-FIN,:W:-XGU-ZVJO-JWI
W-FBASSCODDEV,W-FUYDBEEBMXP
W-FBASSMONTDEV,W-AGZDQTILXZOA
W-FBASSCODBEN,W-ORJQJCXKDDI
W-FBASSRESBEN,W-XYEKGXKBSFD
W-FBASSOBJET,W-ROOTNWUIIN
W-FBASSMONTPAY,W-CVIIELSBELYK
W-FBASSDATEMIS,W-TQIBQZZJJGHY
W-FBASSDATPAY,W-OSPJUIELXAY
W-FBASSTXPAY,W-VQEPTNOXKD
W-FBASSDVB,W-APGHYTFH
W-FBASSTXEMI,W-GYXOPQPUWH
W-FBASSCERTIF,W-AOSYLHQQPCS
W-FBASSDATCERT,W-IDQUHAFMLUSY
W-FBASSFRAIS,W-IOTQDABADO
W-FBASSDATENREMAR,W-VILHBSXXCACIYBL
W-FBASSCLE,W-XGFLZVFZ
W-NOMREDUIT,W-QMYLONUGW
PARAM3,QHGMI4
W-FBASSROWID,W-CAGCNKQFJN
REPERE,OGDAHC
CURSEUR,UYHHZDQ
W-SRSCOMIN,W-RVJQGBUB
W-LONG-FANT,W-MACX-OOSX
W-LONG-CLE-FANT,W-DXDI-PIF-LEMS
WANT-MONTANT,UNPC-WPBQOQO
WANT-DEBIT,RCOI-VDDNU
WDEB-FRANCS,ZAXG-QDGAUU
WDEB-VIRGULE,PBAV-KUBTEMX
WDEB-CENTIMES,WWMD-QGOFQBHS
WANT-DEBITBIS,APFH-MJHFZROR
WDEB-FRANCX,GDCY-VWUIFD
WDEB-CENTIMEX,UWCZ-RLLLOFFF
WANT-CREDIT,PJQI-YOAOGW
WCRE-FRANCS,YWVK-QSFSRB
WCRE-VIRGULE,ZRZZ-MNSWVYM
WCRE-CENTIMES,FIKO-GFMQRYVG
WANT-CREDIBIS,BFJX-UPFMIXDC
WCRE-FRANCX,SNCZ-GHGDSI
WCRE-CENTIMEX,UKAK-AWGQCGDP
WANT-MONTANTDEB,BTHD-SIUNYHIBTW
WANT-DEB,EPJF-NGL
WANT-MONTANTCRE,IOKH-ONGBYXCXEA
WANT-CRE,CQGE-MZY
WDEBIT,NOLWDM
WANTDEBI1,NVOSMASC6
WCREDIT,BPMWUDJ
WANTCREDI1,EMEDWUZZW1
WCUMDEBI1,MGHGMAJO4
WCUMCREDI1,QLFWQYVGE4
TRANSACTION,RYMDMNADMPM
W-LIBPF,W-ZWAAQ
W-LIB1,W-LZG6
W-LIB2,W-EWR4
W-LIB3,W-CNV8
W-LIBPF2,W-NZJZQ2
W-LONG-FCUM,W-KHAQ-MSHH
W-LONG-CLE-FCUM,W-VOQM-GTR-OMBX
WCUM-MONTANT,EFSQ-YQSELGY
WCUM-DEBIT,SBPR-URBWJ
WCUM-DEBITBIS,EGIU-RCITSVVA
WCUM-CREDIT,HQEI-GKAKIT
WCUM-MONTANTDEB,DKBN-KQGRHRNEUS
WCUM-DEB,SHLB-NBR
WCUM-MONTANTCRE,XJBY-MCKYGDGOZK
WCUM-CRE,VWJJ-CDT
W-GCVFBASE,W-PVCNCBGE
W-NOMUTIL,W-GXKWDOO
WDATE3,UAJLD5
W-LONG-FSESS,W-HIXS-QMMGE
W-LONG-CLE-FSESS,W-JXCE-RGS-BABSU
W-RETOUR-LIB,W-SALAAG-FSB
W-PROGRAM,W-DZXQDIU
W-NUMMVS,W-KVEQYP
CT1,QX7
MONT,QAXM
EUROS,RRVNL
CENTIMES,GYNFUGWQ
ANMOIS,JTLWQH
AN,AN
MOIS,VJAD
WAAMM2,VOKQL7
W-PRIDA,W-WVSIJ
BON-ANNUL,YKN-PTIGX
WEMIS-DATE,ZBJFW-AIDG
WEMIS-JJ,SWTRQ-YI
WEMIS-MM,XIECO-ME
WMAUVAIS-MOIS,ABNPZFQS-VGAF
WMOIS-PAIR,UQQMU-CPLG
WMOIS-IMPAIR,IXSZK-YZRISF
WFEVRIER,LEMGGIGP
WEMIS-AA,MDVKJ-TC
WBISSEXTILES,HBWAAVTXQSNM
BONNE-SUITE,EZNBW-DBWCX
WFTABCPTE-47,RRUMGZFXV-96
WAIG-ANNUL,HFJB-UVHAJ
WAIG-DELETE,SIZL-QIEYCL
WCOMPTEUR,VCFJQUWGQ
WCLEBASE,HZWUXIUN
WLIB-JJ,VGPX-ZL
WLIB-MM,RQRU-IE
WLIB-AA,SWZQ-ID
WLIB-ANO,XDFV-ZHC
WLIB-DATECPTA,OQYX-XKMLGWQV
W-LONG-GCVNN,W-FPLV-TCFTS
W-LONG-CLE-GCVNN,W-AXDV-VNG-GERQR
W-LONG-FTAUX,W-MROD-DZFIC
W-LONG-CLE-FTAUX,W-JHMM-IIL-EZEDL
MONTDEVISE,WUUKYVNRMS
DEVISE,WJFBDX
MILLIMES,MOEZLWAT
WMONTDEVISE,OTESSVEXXJR
WS-MONT,QU-YBEN
MOINS-CENT,SWVJV-BOSU
WS-MONT-MOINS,ZR-SABI-INAKA
WS-MONT-PLUS,HH-QPBI-TKGI
WDATE20,STULJ72
FBDIS-IC,EMQYL-EW
FBDIS-IC-CLE,IFMPW-YB-MRA
FBDIS-IC-CLE-POST,HMHCJ-CD-NPB-XAMN
FBDIS-IC-CLE-NAT,UCBJK-JB-YUM-HST
FBDIS-IC-CLE-NUMCHQ,GBUXH-JN-JOF-MAUQYF
FBDIS-IC-CLE-CHQ0,QNCWL-DJ-AJO-ZLL0
FBDIS-IC-CLE-CHQ2,USZBW-MF-QMF-OYJ5
FBDIS-IC-CLE-MONTANT,FVOXZ-QD-EZJ-KDYCFCL
FBDIS-IC-CLE-COMT,IOGFW-GQ-NIV-HDRN
FBDIS-IC-CLE-CODEOP,VXPFA-ES-VUM-OCZGEO
FBDIS-IC-CLE-REFOP,KRIBP-KJ-MBQ-CFKCC
FBDIS-IC-REST,WENDJ-YH-FCTS
FBDIS-IC-SIT,TODRL-NU-YFQ
FBDIS-IC-INDIC,WACXG-RF-XDINV
FBDIS-IC-LONGOP,QJLNH-QC-QCVCMU
FBDIS-IC-CODART,SCZKI-PO-RXKNQI
FBDIS-IC-CODOP,CXLHQ-UB-XIYWS
FBDIS-IC-TYPDONORD,UJZFX-RG-WWUYDZHNW
FBDIS-IC-IDDONORD,DXRBX-NF-TXQCSBPC
FBDIS-IC-TYPIDDEST,AAHYK-AX-JAKGCFNHA
FBDIS-IC-IDETABDEST,WKAPZ-YL-VYQDKKIISO
FBDIS-IC-CRITROUTSEC,QMYXW-GF-LJAGHQLVEFP
FBDIS-IC-CODEDEV,TQTLN-SB-SUTMOPX
FBDIS-IC-MONTANT,XMZMD-HI-OGXMJVW
FBDIS-IC-DATEREGL,PTCJR-PQ-TQGZIGSK
FBDIS-IC-INDICMODIDDR,BDQOJ-FB-TNUCDSFOSBZP
FBDIS-IC-CODECOM,WINWH-SK-KFCLTHT
FBDIS-IC-COMINTERB,UFLXB-QY-SDCZWAQNN
FBDIS-IC-DECLAR,NENAH-CS-NVRRMK
FBDIS-IC-CODEANO,ZTTDY-ZM-FMZYCDO
FBDIS-IC-ZONERES,SNXSH-SM-VZWFJPY
FBDIS-IC-INDICMON,OKHFZ-WV-LZKKZZCN
FBDIS-IC-BANQUE,YRLDP-MZ-VYOACU
FBDIS-IC-SOUSCODOP,OHVUN-QK-SAQJFBQKD
FBDIS-IC-REFOP,YNXMB-EC-DONZA
FBDIS-IC-BQUEREMET,IZPAV-PI-MRTXNJFKE
FBDIS-IC-CMC74,WFJOK-TT-USW38
FBDIS-IC-CMC73,DHMZL-OF-CKH17
FBDIS-IC-CMC72,TYLJW-BY-XMW72
FBDIS-IC-INDBALPAI,XIWDC-CL-BXDFMTIDG
FBDIS-IC-USAGETAB,MNZYZ-HN-UCWINTLA
FBDIS-IC-INDICCIRCUL,OILEJ-IH-QLGBVZABRIM
FBDIS-IC-INDCEPC,EZEGW-BW-HQSQHRT
FBDIS-IC-FINCLE,VDECZ-GH-GRXAOF
FBDIS-RIC,RGLMT-PSZ
FBDIS-RIC-CLE-CLE,XRUJE-QFI-ZHR-KCY
FBDIS-RIC-CLE-POST,PHQOQ-BVG-RAM-EBUB
FBDIS-RIC-CLE-NAT,MJDDG-FDP-PJJ-NMH
FBDIS-RIC-CLE-NUMCHQ,EFMFJ-ADD-CRO-OWVOTL
FBDIS-RIC-CLE-CHQ0,BHMRC-YLV-AYI-XKH1
FBDIS-RIC-CLE-CHQ2,QOXDD-RGT-XCG-UJF2
FBDIS-RIC-CLE-MONTANT,BVLSR-CJR-CDH-FUUGPOU
FBDIS-RIC-CLE-COMT,VFWLP-QHW-XIM-PBAX
FBDIS-RIC-CLE-CODEOP,SSFXF-DIJ-GFG-KUQANR
FBDIS-RIC-CLE-REFOP,XLKRH-JYP-FMY-LKDNF
FBDIS-RIC-REST,IBCZD-UIY-CIOZ
FBDIS-RIC-SIT,ZSKDM-KUF-ZEB
FBDIS-RIC-INDIC,PSRRT-XSU-UNLFM
FBDIS-RIC-LONGOP,OMEBC-YXX-WNKBZW
FBDIS-RIC-CODART,YTVSE-JZZ-HQBLGE
FBDIS-RIC-CODOP,MAQFZ-NMK-PJZVS
FBDIS-RIC-TYPDONORD,UEOIR-NMT-AGKQGFSIS
FBDIS-RIC-IDDONORD,FEYCC-MLL-IXXSXDNE
FBDIS-RIC-TYPIDDEST,OAGTB-TRN-BVJDLWCXT
FBDIS-RIC-IDETABDEST,IXFDH-XDH-UHVJMBASOY
FBDIS-RIC-CRITROUTSEC,UESWF-GAD-TQEROLDOOGP
FBDIS-RIC-CODEDEV,LHUBD-BYO-JOAWQEF
FBDIS-RIC-MONTANT,KUZQD-TBT-NHUCLJG
FBDIS-RIC-DATEREGL,MJXDT-NSJ-VIDIMFSM
FBDIS-RIC-INDICMODIDDR,XIAWU-GYB-KWCZHDTOSZCQ
FBDIS-RIC-CODECOM,WWKOX-AJB-MVDERCI
FBDIS-RIC-COMINTERB,LKYUI-ODM-QDHLNTURU
FBDIS-RIC-DECLAR,FDMQV-ODY-YESFIQ
FBDIS-RIC-CODEANO,OYEPF-MXP-OZMIZDJ
FBDIS-RIC-ZONERES,DXDED-GBB-GHHCNGT
FBDIS-RIC-INDICMON,NXJNK-BGE-RTRVKPRM
FBDIS-RIC-BANQUE,LWBCM-BZI-BKZEPD
FBDIS-RIC-CODMOTIFREJ,MOFQH-RHS-MRPBZGBMQZN
FBDIS-RIC-REFOP,OOHQY-JAC-RNGKR
FBDIS-RIC-INDICDELREJ,RKHDV-UIK-MEUFMHCNNSG
FBDIS-RIC-RESTITCHQ,WZUIQ-ZUB-HVIVBAWOD
FBDIS-RIC-CERTIFNP,BYAEP-WJH-KWCDONKZ
FBDIS-RIC-NATINTERDIC,HVUID-EKN-MYPOGAMWRMO
FBDIS-RIC-DATINTERDIC,GPDQV-IXI-AWDDGYXEARB
FBDIS-RIC-DATPRESENTA,VXWYV-ARO-UOJFOEKZTYZ
FBDIS-RIC-NUMCHQ,TTSEJ-LPT-EBFTLW
FBDIS-RIC-NOMTIREUR,FEMUQ-DKC-OLURRDHHD
FBDIS-RIC-LIBELDOMIC,TCLZB-ZAM-UVNAFTLXNM
FBDIS-RIC-NUMCPTTIR,ZRNWV-WEK-EYKJBNVCN
FBDIS-RIC-CORDEXPED,WOPFX-ILR-CORHMLKHE
FBDIS-RIC-TELECOPIE,TKESA-NIC-SHPGBKSTU
FBDIS-RIC-TELEPHONE,WCZVG-UVW-SJEAOFZWZ
FBDIS-RIC-EMAIL,BSNZB-CBT-ZEOCY
FBDIS-RIC-USAGETAB,KBPNP-HLG-DVVHWTJM
FBDIS-RIC-ZOI,VECVD-OOO-NCB
FBDIS-RIC-ZOISIT,SJPKO-CZT-FIODDK
FBDIS-RIC-SUBINDICDEB,NNCJT-FQG-SNNCAPFFXZS
FBDIS-RIC-SUITESITIC,NLIZG-SFF-WANUEKAMBA
FBDIS-RIC-ZOIBQUE,AMREY-WXQ-XBONZXF
FBDIS-RIC-BQUEIC,ACWRY-WMH-OSZGGH
FBDIS-AIC,WVOSN-OAS
FBDIS-AIC-CLE,BQUBC-ZUV-EWO
FBDIS-AIC-CLE-POST,UKVBY-VFX-BMA-PXEM
FBDIS-AIC-CLE-NAT,SQGFD-DWC-XNT-BEW
FBDIS-AIC-CLE-NUMCHQ,ANTGR-SSF-VHT-CRFBYO
FBDIS-AIC-CLE-CHQ0,IIJOG-JQA-TCF-CZI9
FBDIS-AIC-CLE-CHQ2,ANPBS-XEX-BHA-CQL5
FBDIS-AIC-CLE-MONTANT,IJKTK-XOW-XRS-FIDYQZD
FBDIS-AIC-CLE-COMT,KNZIW-SRU-SCY-AZWF
FBDIS-AIC-CLE-CODEOP,XPWCM-MFM-PUS-XJGYMX
FBDIS-AIC-CLE-REFOP,QFDNR-TBR-SJW-NHICB
FBDIS-AIC-REST,CAYOJ-VVQ-HCER
FBDIS-AIC-SIT,QAOLW-CVL-RWT
FBDIS-AIC-INDIC,KNVCS-FQP-HBTMB
FBDIS-AIC-LONGOP,GAPSC-EVV-KSNYQT
FBDIS-AIC-CODART,AIYOE-RSS-PSHFDV
FBDIS-AIC-CODOP,EZWZG-YMM-CWAMA
FBDIS-AIC-TYPDONORD,LSMNF-TRP-EKBQSVIAQ
FBDIS-AIC-IDDONORD,BHJEL-NJT-GFKTALUL
FBDIS-AIC-TYPIDDEST,ITDYB-JVH-LSJPODQRB
FBDIS-AIC-IDETABDEST,DOMTK-QNV-GYNHRJALVZ
FBDIS-AIC-CRITROUTSEC,PIDWN-VPV-PETGMSRTAZG
FBDIS-AIC-CODEDEV,NOYEB-DUE-GFVEPLR
FBDIS-AIC-MONTANT,WGXXV-PKI-JXKUUHG
FBDIS-AIC-DATEREGL,AFQSB-ZEN-PVADFXXO
FBDIS-AIC-INDICMODIDDR,RXECD-BPN-JUPJHLXEVDMQ
FBDIS-AIC-CODECOM,QNEZG-OGU-LAMKIKV
FBDIS-AIC-COMINTERB,PQZSX-PCT-CGFMZITXT
FBDIS-AIC-DECLAR,USWPO-WAO-MUOIWW
FBDIS-AIC-CODEANO,GRNTK-LWR-OFVSZBH
FBDIS-AIC-ZONERES,KRNNJ-IJI-BXJRKLI
FBDIS-AIC-INDICMON,TJWLX-RTA-DDRPLMTX
FBDIS-AIC-BANQUE,QKYAA-BCZ-ZTTJMG
FBDIS-AIC-CODMOTIFANN,JWSSK-QYL-CMBWYOUQHHM
FBDIS-AIC-REFOP,HWCVY-JGG-FSDBW
FBDIS-AIC-USAGETAB,HOWJD-UBO-DARVEVYM
FBDIS-AIC-ZOI,EPOAZ-QOO-URM
FBDIS-AIC-ZOISIT,UQRAR-BRC-ZODWGT
FBDIS-AIC-SUBINDICDEB,KUDKD-CBN-IVMXVESHOFA
FBDIS-AIC-SUITESITIC,RHFNX-VGN-JJPVQEYTLS
FBDIS-AIC-ZOIBQUE,CNZRL-PDG-FGYLNNO
FBDIS-AIC-BQUEIC,UNACO-MIF-SHRAPL
FBDIS-RAIC,PRFRP-TOIS
FBDIS-RAIC-CLE,GCOWV-RCTZ-PVJ
FBDIS-RAIC-CLE-POST,FVBOX-IECP-KXQ-DJTF
FBDIS-RAIC-CLE-NAT,RAMSL-FKHQ-EDO-UVW
FBDIS-RAIC-CLE-NUMCHQ,TPKNI-ULVD-QUW-DKOKIB
FBDIS-RAIC-CLE-CHQ0,KATRF-HTBB-UJR-XXZ9
FBDIS-RAIC-CLE-CHQ2,QVYDN-MHKT-VSD-TWI6
FBDIS-RAIC-CLE-MONTANT,ONALC-RJNC-LDM-VHMVWVP
FBDIS-RAIC-CLE-COMT,UDRIY-UXTN-OXX-WICE
FBDIS-RAIC-CLE-CODEOP,ZXIML-GSOD-BPY-ISYINH
